id5,name,lon,lat
ID_00096,Tekka Market,103.850531,1.306205841
ID_00097,Zion Riverside Food Centre,103.8311893,1.292342168
ID_00098,Blk 75 Toa Payoh Lorong 5,103.8529416,1.336038822
ID_00099,Blk 79 Redhill Lane,103.8184026,1.287858103
ID_00100,Blk 85 Bedok North Street 4,103.9387326,1.331987069
ID_00101,Blk 85 Redhill Lane,103.8183389,1.287330767
ID_00102,Blk 89 Circuit Road,103.8854492,1.323445253
ID_00103,Blk 90 Whampoa Drive,103.8551377,1.322943062
ID_00104,Blk 93 Toa Payoh Lorong 4,103.8495135,1.338474752
ID_00105,Blks 1A/ 2A/ 3A Commonwealth Drive,103.7978755,1.299713305
ID_00106,Ci Yuan Hawker Centre,103.882978,1.375428967
ID_00107,Our Tampines Hub Hawker Centre,103.9397262,1.353862118
ID_00108,Kampung Admiralty Hawker Centre,103.8006964,1.439932832
ID_00109,Dawson Hawker Centre,103.8047152,1.297485671
ID_00110,Woodlands Street 12 Hawker Centre,103.7797849,1.433538857
ID_00111,Blk 163 Bukit Merah Central,103.8169924,1.283692589
ID_00112,Blk 216 Bedok North Street 1,103.9332215,1.327062409
ID_00113,Blk 505 Jurong West Street 52,103.7184475,1.349642243
ID_00114,Blk 159 Mei Chin Road,103.8029039,1.293236221
ID_00115,Blk 16 Bedok South Road,103.9355391,1.320552165
ID_00116,Singapore University of Technology and Design (SUTD),103.962949,1.340257 
